time,lon,lat,pressure,ASL_Sector_Pres
1985-08-01,248.5,-67.75,971.4439697265625,979.2595825195312
1985-09-01,252.0,-67.25,969.9589233398438,974.4520263671875
1985-10-01,198.25,-72.0,972.3649291992188,980.3700561523438
1985-11-01,218.75,-70.0,973.069091796875,978.4727172851562
1985-12-01,252.75,-68.5,976.1034545898438,979.7107543945312
1986-01-01,249.0,-67.0,983.6982421875,986.9322509765625
1986-02-01,246.75,-66.5,979.3380737304688,989.006103515625
1986-03-01,242.75,-66.75,981.5015869140625,987.9035034179688
1986-04-01,206.0,-71.25,981.3956909179688,984.4970703125
1986-05-01,182.25,-66.0,981.775146484375,995.932373046875
1986-06-01,285.5,-61.0,976.9697875976562,994.67236328125
1986-07-01,191.25,-69.75,980.4006958007812,986.1337280273438
1986-08-01,279.0,-67.5,982.1575927734375,987.0702514648438
1986-09-01,197.0,-72.25,979.6019287109375,984.7880859375
1986-10-01,218.75,-69.75,970.9886474609375,979.01171875
1986-11-01,194.25,-72.75,978.7601318359375,984.7699584960938
1986-12-01,203.5,-71.5,980.1936645507812,983.6729736328125
1987-01-01,258.25,-65.0,981.3971557617188,988.8318481445312
1987-02-01,253.25,-68.0,987.3087158203125,991.6375122070312
1987-03-01,275.5,-67.75,977.5266723632812,986.4749145507812
1987-04-01,249.25,-65.0,974.0536499023438,981.3173828125
1987-05-01,235.25,-66.5,976.88623046875,981.5613403320312
1987-06-01,195.25,-70.75,983.2434692382812,989.29833984375
1987-07-01,198.75,-70.75,985.9298706054688,994.0706787109375
1987-08-01,191.0,-71.75,971.7342529296875,983.4580078125
1987-09-01,197.25,-69.5,981.3425903320312,987.2272338867188
1987-10-01,230.25,-67.5,971.1064453125,976.7691650390625
1987-11-01,269.5,-66.75,969.2760009765625,977.30810546875
1987-12-01,252.5,-66.5,979.5127563476562,983.5632934570312
1988-01-01,226.0,-66.75,987.0543823242188,990.0836791992188
1988-02-01,263.5,-66.5,979.0059814453125,985.21240234375
1988-03-01,276.0,-65.75,979.440673828125,984.48095703125
1988-04-01,208.25,-70.25,971.2586669921875,982.4441528320312
1988-05-01,209.25,-63.0,972.3280639648438,983.2393188476562
1988-06-01,205.25,-64.0,979.9518432617188,985.8401489257812
1988-07-01,197.25,-71.75,976.587646484375,984.612060546875
1988-08-01,194.25,-71.75,971.5029907226562,988.2835083007812
1988-09-01,239.75,-67.75,977.9610595703125,982.7992553710938
1988-10-01,229.5,-68.0,982.8209228515625,988.0759887695312
1988-11-01,224.0,-67.5,975.0060424804688,979.23046875
1988-12-01,196.0,-70.75,981.02099609375,984.6640625
1989-01-01,254.75,-64.75,980.02001953125,984.842041015625
1989-02-01,250.5,-66.0,974.45849609375,980.167724609375
1989-03-01,193.0,-69.5,976.3091430664062,980.886474609375
1989-04-01,214.0,-66.5,979.8920288085938,987.2657470703125
1989-05-01,251.75,-68.75,969.0833129882812,974.8656616210938
1989-06-01,209.5,-69.0,971.463623046875,977.3435668945312
1989-07-01,251.5,-68.75,972.9783325195312,980.3341674804688
1989-08-01,246.0,-67.0,979.0374755859375,986.2664184570312
1989-09-01,250.0,-68.75,979.0203247070312,984.4295043945312
1989-10-01,198.25,-72.25,973.7024536132812,978.2611694335938
1989-11-01,250.25,-68.0,972.69384765625,977.1475219726562
1989-12-01,204.25,-70.25,986.86279296875,989.3384399414062
1990-01-01,203.75,-66.5,986.3034057617188,989.2035522460938
1990-02-01,230.25,-66.75,968.78369140625,977.5818481445312
1990-03-01,209.25,-67.0,977.971923828125,981.3085327148438
1990-04-01,197.75,-68.0,983.9569091796875,992.3733520507812
1990-05-01,,,,
1990-06-01,277.0,-67.5,981.0540771484375,986.8250732421875
1990-07-01,253.25,-65.0,978.2915649414062,988.8567504882812
1990-08-01,207.75,-71.25,976.8784790039062,982.1722412109375
1990-09-01,206.75,-71.0,971.7583618164062,979.343994140625
1990-10-01,277.25,-66.75,972.7233276367188,976.9767456054688
1990-11-01,280.0,-66.5,973.009521484375,982.1648559570312
1990-12-01,204.75,-70.5,981.2839965820312,986.3034057617188
1991-01-01,275.0,-66.5,977.7691650390625,983.7408447265625
1991-02-01,201.0,-70.75,984.0512084960938,987.4546508789062
1991-03-01,241.25,-68.75,981.7965698242188,986.6573486328125
1991-04-01,255.0,-66.75,983.2833251953125,986.99951171875
1991-05-01,177.25,-66.25,980.4536743164062,992.6040649414062
1991-06-01,196.5,-69.5,984.0136108398438,992.6239013671875
1991-07-01,208.25,-67.75,983.0511474609375,990.2843627929688
1991-08-01,274.75,-68.0,979.5262451171875,985.0116577148438
1991-09-01,212.75,-70.0,976.0052490234375,983.9380493164062
1991-10-01,183.75,-70.5,978.6743774414062,988.5441284179688
1991-11-01,276.0,-67.75,979.672119140625,985.116943359375
1991-12-01,190.25,-69.25,992.2738037109375,996.6622314453125
1992-01-01,259.0,-63.75,984.1823120117188,990.025146484375
1992-02-01,173.75,-62.75,985.9225463867188,994.4091186523438
1992-03-01,186.25,-67.0,977.7772216796875,989.2392578125
1992-04-01,222.75,-68.5,980.120849609375,985.1743774414062
1992-05-01,199.25,-67.0,987.8596801757812,995.2842407226562
1992-06-01,196.25,-71.5,992.8389892578125,998.9103393554688
1992-07-01,214.0,-68.25,973.6944580078125,983.5336303710938
1992-08-01,253.5,-67.5,978.88720703125,983.7214965820312
1992-09-01,198.5,-72.5,975.1553344726562,981.7568359375
1992-10-01,252.25,-67.0,975.24169921875,979.3890991210938
1992-11-01,240.25,-67.75,977.4088134765625,982.284423828125
1992-12-01,255.0,-67.5,982.0416259765625,985.7238159179688
1993-01-01,265.0,-63.5,992.1507568359375,997.6673583984375
1993-02-01,198.0,-72.5,976.7246704101562,984.79150390625
1993-03-01,197.75,-72.5,984.9107055664062,989.2281494140625
1993-04-01,207.75,-71.0,980.5191650390625,984.910888671875
1993-05-01,196.75,-71.25,980.853759765625,984.6790771484375
1993-06-01,185.75,-69.25,972.9097290039062,985.6450805664062
1993-07-01,238.0,-67.75,973.0361328125,978.83544921875
1993-08-01,197.0,-72.25,979.1298217773438,982.8841552734375
1993-09-01,209.0,-70.0,973.67041015625,978.7057495117188
1993-10-01,188.0,-68.0,969.990234375,979.0374145507812
1993-11-01,267.5,-65.75,971.3734741210938,979.2929077148438
1993-12-01,218.0,-69.5,983.1087036132812,985.9066772460938
1994-01-01,253.0,-66.75,981.369140625,984.6497802734375
1994-02-01,250.5,-67.75,978.1464233398438,983.4158325195312
1994-03-01,197.75,-71.75,978.2144165039062,985.8034057617188
1994-04-01,215.0,-68.75,976.589111328125,983.590576171875
1994-05-01,178.25,-69.0,988.6199340820312,993.8561401367188
1994-06-01,218.25,-62.5,993.561279296875,996.8380737304688
1994-07-01,196.75,-71.5,988.7717895507812,993.595703125
1994-08-01,250.75,-68.25,968.530517578125,974.7168579101562
1994-09-01,279.0,-67.5,977.6690063476562,987.6996459960938
1994-10-01,201.0,-71.5,975.2408447265625,986.98779296875
1994-11-01,242.5,-63.75,981.7042236328125,984.4235229492188
1994-12-01,190.25,-70.25,980.1834716796875,986.8701171875
1995-01-01,267.5,-67.0,976.93115234375,981.6754150390625
1995-02-01,241.25,-67.25,982.046142578125,986.8270874023438
1995-03-01,277.0,-67.0,982.6417846679688,989.362548828125
1995-04-01,254.5,-66.25,974.7369384765625,983.8353881835938
1995-05-01,200.5,-70.25,977.8802490234375,982.9915771484375
1995-06-01,196.0,-71.0,989.1439208984375,996.390380859375
1995-07-01,,,,
1995-08-01,207.0,-70.5,981.1939086914062,989.9424438476562
1995-09-01,200.5,-71.25,974.5451049804688,979.9154052734375
1995-10-01,185.25,-69.0,975.6350708007812,981.6032104492188
1995-11-01,250.75,-68.25,973.1045532226562,978.4439697265625
1995-12-01,252.0,-68.75,976.9171752929688,981.797119140625
1996-01-01,219.75,-68.75,981.4837036132812,986.5421142578125
1996-02-01,277.25,-67.0,983.5659790039062,989.87841796875
1996-03-01,257.5,-66.0,976.91796875,983.093017578125
1996-04-01,238.5,-67.25,974.7969970703125,982.047119140625
1996-05-01,230.75,-68.75,971.0079345703125,979.2455444335938
1996-06-01,197.25,-72.0,976.3474731445312,986.2178344726562
1996-07-01,237.75,-68.75,976.228759765625,983.906005859375
1996-08-01,251.0,-67.75,982.5502319335938,986.1888427734375
1996-09-01,244.5,-65.0,976.14599609375,984.89892578125
1996-10-01,250.5,-69.5,970.7372436523438,976.078857421875
1996-11-01,277.0,-65.75,971.4299926757812,985.4915771484375
1996-12-01,237.0,-66.75,979.1142578125,984.0341796875
1997-01-01,274.0,-64.0,979.5029907226562,988.3442993164062
1997-02-01,275.0,-66.25,989.4390869140625,990.2359619140625
1997-03-01,198.75,-71.75,977.8558959960938,984.5682373046875
1997-04-01,274.75,-66.75,981.1767578125,987.8780517578125
1997-05-01,196.5,-71.5,973.7841796875,983.5747680664062
1997-06-01,194.75,-67.25,980.3041381835938,990.3822021484375
1997-07-01,195.5,-72.75,980.8903198242188,988.6307983398438
1997-08-01,198.75,-71.75,975.0560913085938,982.4285888671875
1997-09-01,206.75,-69.5,970.5941162109375,982.8381958007812
1997-10-01,198.5,-70.5,970.7181396484375,982.15576171875
1997-11-01,192.75,-64.0,976.3746337890625,984.0260620117188
1997-12-01,235.0,-65.0,989.5419311523438,992.968017578125
1998-01-01,275.0,-66.5,981.2396240234375,987.025146484375
1998-02-01,184.0,-71.25,982.3699951171875,987.0061645507812
1998-03-01,201.5,-71.0,980.2423095703125,982.276611328125
1998-04-01,225.25,-69.5,973.4136962890625,980.2582397460938
1998-05-01,195.75,-71.5,982.2493896484375,991.4631958007812
1998-06-01,208.0,-68.25,970.092041015625,977.5032348632812
1998-07-01,276.75,-63.75,969.52490234375,976.3950805664062
1998-08-01,217.5,-68.5,963.22119140625,971.6392822265625
