lat,lon,pressure,ASL_Sector_Pres,time
-66.75,236.25,977.139892578125,983.4767456054688,1996-12-01
-66.0,274.5,977.85986328125,988.2383422851562,1997-01-01
-68.25,274.5,979.4478759765625,988.8065795898438,1997-04-01
-76.5,199.5,972.1780395507812,984.2836303710938,1997-05-01
-66.75,197.25,980.2496948242188,990.4605102539062,1997-06-01
-76.5,199.5,977.8231201171875,989.6624145507812,1997-07-01
-73.5,209.25,972.906494140625,983.1036987304688,1997-08-01
-70.5,210.0,969.0569458007812,983.1928100585938,1997-09-01
-70.5,200.25,969.9957275390625,982.3599243164062,1997-10-01
-68.25,202.5,976.0374145507812,983.921630859375,1997-11-01
-66.75,273.75,979.8615112304688,987.2033081054688,1998-01-01
-71.25,229.5,980.3866577148438,987.3648071289062,1998-02-01
-75.0,201.75,977.9727172851562,982.718505859375,1998-03-01
-71.25,225.75,970.80029296875,980.5414428710938,1998-04-01
-73.5,193.5,979.7711791992188,991.568115234375,1998-05-01
-69.0,207.0,968.2424926757812,977.3189086914062,1998-06-01
-63.75,279.0,966.7193603515625,975.6205444335938,1998-07-01
-69.75,216.0,960.0790405273438,971.1302490234375,1998-08-01
-69.0,216.0,975.76220703125,982.4141845703125,1998-09-01
-66.0,253.5,967.2515869140625,977.0089721679688,1998-10-01
-72.0,224.25,969.4564819335938,977.0198364257812,1998-11-01
-68.25,261.75,975.431884765625,982.2869873046875,1998-12-01
-66.75,260.25,978.6135864257812,983.6635131835938,1999-01-01
-68.25,273.0,972.4110107421875,984.1710205078125,1999-02-01
-69.75,237.75,975.4896850585938,984.3971557617188,1999-03-01
-71.25,282.0,973.9736938476562,982.4442138671875,1999-04-01
-71.25,238.5,968.3244018554688,978.0685424804688,1999-05-01
-63.0,238.5,985.1663208007812,991.018798828125,1999-06-01
-74.25,192.0,976.11083984375,983.9547729492188,1999-07-01
-72.0,211.5,974.9180297851562,985.8041381835938,1999-08-01
-71.25,204.75,976.5328979492188,984.699951171875,1999-09-01
-74.25,219.75,961.9537353515625,972.9661865234375,1999-10-01
-69.0,261.0,965.64794921875,974.6199951171875,1999-11-01
-70.5,271.5,972.4561767578125,980.9891357421875,1999-12-01
-68.25,278.25,973.8875122070312,983.4374389648438,2000-01-01
-68.25,196.5,978.9312744140625,985.1290283203125,2000-02-01
-67.5,207.0,979.5565795898438,986.7198486328125,2000-03-01
-71.25,198.0,974.8587646484375,981.8876342773438,2000-04-01
-75.0,206.25,975.96826171875,985.9635009765625,2000-07-01
-72.0,205.5,974.3970947265625,984.7496948242188,2000-08-01
-72.75,210.0,982.734130859375,994.5775756835938,2000-09-01
-73.5,209.25,973.1492919921875,981.4358520507812,2000-10-01
-71.25,192.0,974.4112548828125,984.8881225585938,2000-11-01
-60.75,283.5,987.1468505859375,993.3192749023438,2000-12-01
-61.5,279.0,985.880615234375,991.1697387695312,2001-01-01
-63.75,263.25,983.4117431640625,987.658447265625,2001-02-01
-66.0,282.0,981.5738525390625,987.3662719726562,2001-03-01
-72.75,209.25,976.3479614257812,983.3958740234375,2001-04-01
-71.25,237.0,977.1681518554688,984.509765625,2001-05-01
-73.5,204.75,975.4375,985.1593627929688,2001-06-01
-68.25,200.25,979.6342163085938,991.24609375,2001-07-01
-71.25,274.5,965.6310424804688,985.075927734375,2001-08-01
-70.5,238.5,966.2196044921875,979.1063232421875,2001-09-01
-70.5,266.25,964.7374267578125,974.5858154296875,2001-10-01
-68.25,273.75,968.671630859375,977.5580444335938,2001-11-01
-70.5,271.5,970.948486328125,981.1573486328125,2001-12-01
-69.75,223.5,979.8685913085938,985.2786865234375,2002-01-01
-71.25,252.75,972.0242309570312,982.1550903320312,2002-02-01
-64.5,186.0,984.5382080078125,993.2518310546875,2002-03-01
-71.25,208.5,972.6369018554688,979.9553833007812,2002-04-01
-64.5,186.0,980.9893798828125,996.6895751953125,2002-05-01
-64.5,181.5,984.7640380859375,996.3375244140625,2002-06-01
-71.25,254.25,981.6104736328125,989.4198608398438,2002-07-01
-75.0,199.5,977.5337524414062,990.035888671875,2002-08-01
-69.75,206.25,977.1624755859375,985.4358520507812,2002-09-01
-69.0,172.5,984.7513427734375,990.2044067382812,2002-11-01
-68.25,257.25,976.3621215820312,981.8519897460938,2002-12-01
-63.0,278.25,986.0331420898438,990.3282470703125,2003-01-01
-66.0,271.5,976.1574096679688,985.187255859375,2003-02-01
-67.5,174.0,983.550048828125,989.443603515625,2003-03-01
-70.5,219.0,971.1264038085938,981.7857055664062,2003-04-01
-71.25,201.75,966.1942138671875,979.1591186523438,2003-05-01
-70.5,202.5,984.2658081054688,990.3900756835938,2003-06-01
-66.75,268.5,969.8150024414062,976.6547241210938,2003-07-01
-71.25,254.25,972.206298828125,983.622802734375,2003-08-01
-74.25,200.25,976.1065673828125,983.9539794921875,2003-09-01
-76.5,202.5,971.4031372070312,981.4125366210938,2003-10-01
-72.0,188.25,976.0797729492188,984.5012817382812,2003-11-01
-64.5,189.0,988.7377319335938,992.1614990234375,2003-12-01
-63.75,261.75,979.1260375976562,986.9508056640625,2004-01-01
-63.0,242.25,986.84619140625,991.669189453125,2004-02-01
-72.0,230.25,975.340087890625,983.7875366210938,2004-04-01
-72.75,229.5,974.7359619140625,983.9146728515625,2004-05-01
-74.25,204.75,973.0053100585938,981.3355102539062,2004-06-01
-75.75,212.25,975.0789184570312,986.3974609375,2004-07-01
-73.5,256.5,977.0198974609375,988.6844482421875,2004-08-01
-71.25,278.25,973.592529296875,983.9061279296875,2004-09-01
-71.25,216.0,970.4375610351562,978.9180297851562,2004-10-01
-73.5,222.0,973.1154174804688,982.229248046875,2004-11-01
-66.75,204.0,982.3021850585938,986.9693603515625,2005-01-01
-71.25,268.5,973.0617065429688,981.2432861328125,2005-02-01
-68.25,261.0,977.7849731445312,984.13623046875,2005-03-01
-75.0,213.0,977.1060180664062,983.2676391601562,2005-04-01
-73.5,204.0,978.785888671875,987.80078125,2005-05-01
-73.5,192.0,984.7555541992188,996.7446899414062,2005-06-01
-72.75,201.75,974.8516235351562,986.7756958007812,2005-07-01
-75.0,210.75,972.4293823242188,985.9703369140625,2005-08-01
-70.5,228.75,966.3890380859375,980.710693359375,2005-09-01
-72.0,230.25,963.5897827148438,977.0617065429688,2005-10-01
-72.75,207.75,976.8970947265625,985.197509765625,2005-11-01
-66.0,224.25,985.2877197265625,992.1353759765625,2005-12-01
-62.25,176.25,979.858642578125,985.7789306640625,2006-01-01
-67.5,273.75,971.11376953125,981.3209228515625,2006-03-01
-68.25,253.5,974.91943359375,986.6964721679688,2006-04-01
-72.75,241.5,971.3480224609375,982.354736328125,2006-05-01
-72.75,205.5,974.7274169921875,985.51025390625,2006-06-01
-71.25,210.0,972.341796875,985.6731567382812,2006-07-01
-68.25,230.25,977.6395874023438,987.2108764648438,2006-08-01
-69.75,189.0,976.906982421875,986.468994140625,2006-09-01
-72.75,208.5,970.2483520507812,976.6843872070312,2006-10-01
-67.5,191.25,972.6876831054688,979.1985473632812,2006-11-01
-64.5,273.0,976.4326782226562,986.7815551757812,2006-12-01
-69.0,213.75,976.7305297851562,985.9594116210938,2007-01-01
-73.5,209.25,982.463134765625,987.9481811523438,2007-02-01
-67.5,233.25,982.9840087890625,986.6312866210938,2007-03-01
-72.0,201.75,977.2471923828125,986.424560546875,2007-04-01
-69.75,232.5,973.13232421875,983.6600952148438,2007-05-01
-73.5,204.75,977.1780395507812,988.4273681640625,2007-06-01
-68.25,195.0,989.2276000976562,996.4668579101562,2007-07-01
-72.75,210.0,974.7218017578125,981.5350341796875,2007-08-01
-69.75,238.5,967.738525390625,978.1632690429688,2007-09-01
-70.5,258.75,978.6065673828125,982.4945678710938,2007-10-01
-74.25,204.75,981.2731323242188,987.1348266601562,2007-11-01
-71.25,240.0,973.6631469726562,980.3390502929688,2007-12-01
